Date,Close,High,Low,Open,Volume
2018-01-02,40.26707077026367,40.27642306888876,39.565798181369,39.7761820981515,102223600
2018-01-03,40.26006317138672,40.80238241744237,40.19695119893329,40.33019115208112,118071600
2018-01-04,40.44707489013672,40.54992879885171,40.22500589642445,40.33253238872998,89738400
2018-01-05,40.90757369995117,40.99406285723671,40.45174716352319,40.54291247080879,94640000
2018-01-08,40.7556266784668,41.050159881448366,40.65744537728277,40.7556266784668,82271200
2018-01-09,40.7509651184082,40.921607177245335,40.53590854238624,40.80239207863717,86336000
2018-01-10,40.74161148071289,40.74395133955629,40.44006573912767,40.47746781204214,95839600
2018-01-11,40.9730224609375,41.02211311511454,40.7883555686387,40.81172918317203,74670800
2018-01-12,41.39613342285156,41.4592489749362,41.05952190087746,41.1834131462071,101672400
2018-01-16,41.185752868652344,41.93377648897424,41.17406427506678,41.585476374529335,118263600
2018-01-17,41.8659782409668,41.901040446396664,40.92393560860837,41.176390621417674,137547200
2018-01-18,41.90336990356445,42.09972892251785,41.66727610284251,41.92908337230499,124773600
2018-01-19,41.716373443603516,41.97818075507873,41.47092730566695,41.75143564894141,129700400
2018-01-22,41.375091552734375,41.55742217931307,41.28158994771982,41.44521953992409,108434400
2018-01-23,41.384437561035156,41.94545785474811,41.33301417846406,41.44521681046371,130756400
2018-01-24,40.72524642944336,41.44522021370444,40.486812695865126,41.433531621173195,204420400
2018-01-25,39.998260498046875,40.89588876808735,39.86268067077133,40.79303486002607,166116000
2018-01-26,40.091758728027344,40.206301219057266,39.75281097181956,40.206301219057266,156572000
2018-01-29,39.26192092895508,39.7761868421077,39.05387684544463,39.7761868421077,202561600
2018-01-30,39.0305061340332,39.124007745796824,38.499875391787135,38.693894624711604,184192800
2018-01-31,39.138023376464844,39.37412077565685,38.92063057543217,39.00711972420556,129915600
2018-02-01,39.21984100341797,39.41619648711814,38.98140730643512,39.07724875688061,188923200
2018-02-02,37.51808547973633,38.99075870726561,37.424583889707215,38.80375196035035,346375200
2018-02-05,36.580726623535156,38.30819507475602,36.46618412011472,37.19083407744985,290954000
2018-02-06,38.1094970703125,38.270790367350905,35.99866645876102,36.19268567354218,272975200
2018-02-07,37.29368209838867,38.195986484247946,37.18381931919892,38.12352220639921,206434400
2018-02-08,36.26748275756836,37.634965863191155,36.23943299272922,37.46899643189285,217562000
2018-02-09,36.711090087890625,37.058460813619604,35.26292594672998,36.865999961496776,282690400
2018-02-12,38.18976974487305,38.4667265805271,36.96927155384121,37.201636376347686,243278000
2018-02-13,38.57233428955078,38.66856648297439,37.9409622819946,38.011376169411854,130196800
2018-02-14,39.28351974487305,39.32342012499602,38.22967123455398,38.26722221611662,162579600
2018-02-15,40.60258102416992,40.62604993130771,39.66608460137815,39.851504367782084,204588800
2018-02-16,40.471153259277344,41.032115117639805,40.31624696133215,40.454725377080166,160704400
2018-02-20,40.335018157958984,40.900667983713674,40.23409073734247,40.381959561813375,135722000
2018-02-21,40.15195083618164,40.86781542185468,40.13786518942926,40.56504027258118,149886400
2018-02-22,40.487579345703125,40.82790900653201,40.30215954364588,40.32328263855121,123967600
2018-02-23,41.191707611083984,41.22691276622604,40.73167328929835,40.76218681135434,135249600
2018-02-26,42.00615692138672,42.10473494491624,41.35835694616437,41.391216287340875,152648800
2018-02-27,41.870025634765625,42.360569950834076,41.81604319718002,42.03667174392078,155712400
2018-02-28,41.806644439697266,42.39342084865955,41.79021656257379,42.07421433892811,151128400
2018-03-01,41.07435607910156,42.19627249006448,40.52513412020834,41.90523004911441,195208000
2018-03-02,41.35835266113281,41.37947575368643,40.47583859285667,40.557988727986356,153816000
